mf,c
http://example.org/music_feelings_onto#majormode_instance,1974
http://example.org/music_feelings_onto#piano_instance,1653
http://example.org/music_feelings_onto#undulatingmelody_instance,1541
http://example.org/music_feelings_onto#highpitch_instance,1536
http://example.org/music_feelings_onto#minorsecondinterval_instance,1518
http://example.org/music_feelings_onto#majorsecondinterval_instance,1326
http://example.org/music_feelings_onto#fasttempo_instance,1321
http://example.org/music_feelings_onto#narrowpitchrange_instance,1226
http://example.org/music_feelings_onto#slowtempo_instance,1047
http://example.org/music_feelings_onto#mediumpitch_instance,1032
http://example.org/music_feelings_onto#unisoninterval_instance,1013
http://example.org/music_feelings_onto#minorthirdinterval_instance,914
http://example.org/music_feelings_onto#allegrotempo_instance,831
http://example.org/music_feelings_onto#minormode_instance,734
http://example.org/music_feelings_onto#majorthirdinterval_instance,635
http://example.org/music_feelings_onto#perfectfourthinterval_instance,625
http://example.org/music_feelings_onto#widepitchrange_instance,619
http://example.org/music_feelings_onto#staccato_instance,594
http://example.org/music_feelings_onto#descendingmelody_instance,562
http://example.org/music_feelings_onto#forte_instance,487
http://example.org/music_feelings_onto#ascendingmelody_instance,476
http://example.org/music_feelings_onto#andante_instance,441
http://example.org/music_feelings_onto#pianissimo_instance,355
http://example.org/music_feelings_onto#vivace_instance,343
http://example.org/music_feelings_onto#mediumtempo_instance,340
http://example.org/music_feelings_onto#moderato_instance,340
http://example.org/music_feelings_onto#adagio_instance,314
http://example.org/music_feelings_onto#perfectfifthinterval_instance,312
http://example.org/music_feelings_onto#minorsixthinterval_instance,263
http://example.org/music_feelings_onto#largotempo_instance,243
http://example.org/music_feelings_onto#octaveinterval_instance,237
http://example.org/music_feelings_onto#majorsixthinterval_instance,209
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,209
http://example.org/music_feelings_onto#prestotempo_instance,147
http://example.org/music_feelings_onto#fortissimo_instance,135
http://example.org/music_feelings_onto#diminuendo_instance,125
http://example.org/music_feelings_onto#minorseventhinterval_instance,104
http://example.org/music_feelings_onto#crescendo_instance,64
http://example.org/music_feelings_onto#majorseventhinterval_instance,49
http://example.org/music_feelings_onto#grave_instance,49
http://example.org/music_feelings_onto#accent_instance,14
http://example.org/music_feelings_onto#lowpitch_instance,11
http://example.org/music_feelings_onto#mezzoforte_instance,8