mf,a
http://example.org/music_feelings_onto#minorsecondinterval_instance,1692
http://example.org/music_feelings_onto#majorsecondinterval_instance,1644
http://example.org/music_feelings_onto#unisoninterval_instance,984
http://example.org/music_feelings_onto#minorthirdinterval_instance,903
http://example.org/music_feelings_onto#perfectfourthinterval_instance,722
http://example.org/music_feelings_onto#majorthirdinterval_instance,613
http://example.org/music_feelings_onto#perfectfifthinterval_instance,450
http://example.org/music_feelings_onto#majorsixthinterval_instance,255
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,232
http://example.org/music_feelings_onto#minorsixthinterval_instance,213
http://example.org/music_feelings_onto#minorseventhinterval_instance,125
http://example.org/music_feelings_onto#octaveinterval_instance,102
http://example.org/music_feelings_onto#majorseventhinterval_instance,45